wind_speed,wind_impact_duration,water_deep,wave_height
45.42,68.34,69.67,71.1
50.9,55.74,87.61,62.0
41.92,19.26,65.38,15.1
57.53,31.85,68.37,68.0
29.31,34.57,93.16,58.8
6.63,3.79,79.22,53.9
17.56,60.23,69.34,42.4
62.39,93.68,78.51,68.8
95.39,66.12,99.61,98.3
33.09,45.49,28.06,33.9
5.32,31.68,99.77,54.4
94.93,12.02,48.91,66.9
81.98,80.31,35.88,88.6
77.59,92.76,48.39,44.4
96.65,35.38,90.13,11.7
84.77,13.65,56.88,57.3
79.64,49.72,57.38,44.7
23.38,31.92,64.25,24.0
58.56,55.31,63.32,85.3
45.61,84.38,94.95,62.6
73.56,93.06,10.58,89.6
75.92,94.76,45.73,94.4
86.64,28.52,76.92,44.7
26.17,46.55,97.88,76.1
31.1,32.88,5.21,92.5
97.63,10.31,67.33,27.5
76.51,8.62,51.97,92.1
71.96,74.47,50.95,25.3
6.9,19.86,78.87,93.3
18.39,62.7,9.9,29.6
17.5,5.71,52.34,36.2
25.07,96.34,45.63,96.8
19.16,35.66,89.43,90.7
27.77,27.44,16.5,60.4
1.5,26.4,42.76,35.0
8.0,65.1,40.94,59.5
44.75,49.68,5.96,2.1
79.39,43.27,23.53,10.1
69.16,13.41,31.36,3.9
74.62,74.6,22.89,92.8
32.37,57.63,60.74,68.0
75.99,72.0,45.13,43.9
31.91,2.2,30.23,43.9
55.97,9.67,85.17,85.1
28.82,17.58,29.31,65.9
10.29,75.26,43.73,69.4
33.71,10.92,30.13,17.2
20.02,96.82,96.87,40.0
56.67,31.43,74.88,21.6
62.26,26.88,96.12,59.9
89.28,23.14,39.63,18.6
75.03,91.32,9.34,73.7
57.44,36.06,37.69,13.6
91.57,78.26,49.69,42.9
67.68,35.96,42.87,87.9
90.81,93.02,72.8,18.3
82.49,11.49,94.88,11.7
79.95,79.24,70.5,78.2
84.85,7.6,95.89,5.8
40.89,46.94,10.32,77.6
81.88,76.52,21.45,35.7
28.5,25.53,70.04,20.1
41.31,92.42,83.22,43.8
73.03,26.95,70.37,7.7
3.22,96.05,97.04,14.7
33.22,32.12,18.99,84.2
5.06,83.35,26.34,30.2
64.32,7.38,7.0,39.3
86.13,10.3,91.48,8.0
81.66,89.99,10.02,78.3
46.88,25.63,22.9,15.2
4.07,19.94,87.83,76.5
72.18,8.85,39.28,36.1
91.33,42.46,32.66,87.6
34.88,61.89,14.68,69.5
91.6,52.16,75.81,23.8
80.57,58.68,36.78,86.7
47.62,45.54,78.84,65.8
9.59,76.5,49.24,40.1
24.25,76.8,7.03,50.4
89.2,95.26,14.14,7.8
33.22,59.69,3.27,72.0
73.13,60.54,13.82,95.1
9.93,31.47,27.09,43.2
29.07,16.38,99.54,19.1
79.71,79.64,37.65,72.6
67.44,80.77,90.53,60.2
47.64,75.29,81.6,74.5
44.65,35.03,88.19,85.8
54.92,54.63,96.36,97.3
5.76,35.5,95.22,71.7
39.33,98.27,64.93,76.7
42.11,95.63,61.11,96.8
17.61,71.64,64.19,67.6
67.23,36.2,22.72,79.6
4.0,58.19,8.77,2.3
12.89,22.85,31.13,89.1
97.41,5.94,68.82,84.1
63.54,67.68,86.67,74.9
1.68,89.55,71.18,17.9
67.88,5.44,9.14,80.6
23.74,43.32,82.34,40.5
12.11,38.02,42.08,55.3
98.26,64.19,23.65,90.1
24.8,34.09,25.04,51.1
2.55,59.33,68.71,58.9
66.11,92.9,7.31,54.8
12.81,16.63,60.8,63.9
79.93,68.79,89.52,72.9
50.73,94.83,88.95,16.4
21.4,30.36,82.06,12.3
13.77,21.84,45.81,73.4
81.85,56.95,39.86,60.6
19.9,84.75,65.84,19.7
31.88,28.66,35.4,10.3
92.98,63.26,69.25,40.3
39.28,46.6,94.92,92.7
53.49,77.9,96.17,27.9
67.05,90.97,66.66,80.2
57.49,73.9,50.89,12.1
7.7,12.49,16.36,50.7
81.31,83.33,9.16,39.7
88.41,82.98,20.61,27.6
77.87,67.98,7.56,10.8
13.94,35.42,31.92,42.1
29.49,7.47,70.26,61.2
69.1,37.6,32.34,28.3
28.38,10.36,8.0,70.2
86.23,38.16,20.2,78.7
1.42,40.33,87.12,69.4
93.98,61.22,63.7,77.3
58.24,6.75,82.96,24.3
51.13,33.64,22.8,14.3
34.84,70.73,22.03,88.1
94.39,27.42,41.3,53.3
96.82,89.8,7.73,68.4
36.37,23.72,80.11,32.2
89.43,69.98,30.25,47.4
31.1,77.48,4.85,6.8
67.0,96.45,63.43,29.0
31.8,85.22,82.42,97.9
71.72,54.64,77.38,18.6
39.78,47.97,4.22,9.5
11.69,48.54,54.71,30.8
71.44,32.82,55.71,32.7
95.76,48.9,30.92,47.1
92.85,48.3,90.67,80.0
72.23,83.28,38.35,98.5
82.04,80.22,10.54,64.9
82.61,76.53,14.12,42.3
9.54,18.63,41.44,85.7
85.66,15.37,11.75,21.1
51.19,96.88,97.87,62.5
2.57,26.7,36.47,68.0
66.66,81.61,25.01,8.9
11.0,80.86,25.08,16.1
11.24,33.54,16.83,24.7
7.83,45.86,6.88,48.3
99.54,53.02,26.92,50.5
70.57,87.86,75.19,19.3
90.89,83.85,26.67,51.2
99.97,82.38,99.7,32.8
96.42,75.3,6.54,64.8
61.11,83.52,1.68,75.3
7.69,22.53,57.02,77.1
88.28,43.29,44.34,14.8
43.11,25.33,32.09,47.1
20.99,17.51,1.2,39.8
90.15,18.34,96.07,88.0
56.03,62.61,56.88,73.0
30.12,3.27,31.47,4.6
33.47,36.27,63.34,51.0
22.59,50.02,95.61,71.6
93.52,80.51,40.16,57.6
41.28,25.85,88.51,79.9
33.43,82.94,53.91,15.2
78.21,72.45,64.4,45.4
77.31,31.83,97.66,6.6
84.01,22.77,54.83,58.7
12.2,77.35,7.37,50.3
24.33,48.28,26.18,16.9
93.68,81.9,7.1,36.3
5.84,30.16,79.16,72.5
31.1,34.46,7.42,79.7
95.69,18.47,25.4,66.3
16.68,15.76,65.54,7.5
18.46,78.93,29.0,49.0
8.57,84.38,54.16,17.8
30.15,78.82,43.51,20.9
73.46,74.01,47.59,37.8
33.02,66.45,25.86,4.5
86.18,86.86,76.74,6.9
61.91,85.88,66.89,1.3
51.37,33.58,4.78,98.0
81.19,7.51,76.14,7.8
25.27,74.19,49.45,65.8
23.28,37.4,70.24,5.0
14.75,60.95,77.54,61.8
25.8,7.1,63.69,23.2
70.2,95.62,38.02,34.8
23.38,9.5,20.4,93.2
2.42,19.33,17.6,24.4
92.25,35.94,10.05,52.5
27.07,70.93,9.01,15.0
70.67,49.09,47.85,69.9
85.88,21.9,59.09,38.6
88.01,90.73,62.67,59.3
4.97,45.61,25.31,27.1
14.65,83.99,63.77,6.8
23.5,81.82,47.38,82.5
33.71,80.25,19.29,30.5
77.77,81.46,96.72,2.5
70.21,81.46,14.7,23.6
70.82,75.81,76.85,83.6
87.02,89.39,87.27,64.3
3.98,17.29,49.65,78.8
71.85,16.31,77.05,14.9
88.95,24.06,43.1,94.1
31.0,21.79,73.2,23.9
8.44,32.22,63.21,14.9
41.22,16.11,4.68,60.9
73.44,4.22,13.78,7.2
38.52,21.68,70.68,50.0
12.32,9.24,22.73,89.6
94.95,79.47,10.19,46.8
3.89,37.94,10.13,1.3
46.63,91.36,63.21,55.0
88.6,88.98,98.78,10.8
83.72,29.81,96.58,83.6
42.75,25.2,90.37,41.9
13.53,43.98,15.33,66.0
98.93,22.23,18.99,40.9
76.24,87.83,92.1,70.4
30.13,96.79,48.07,42.7
36.27,80.13,16.55,7.5
70.59,27.4,50.92,60.8
25.47,75.2,58.05,50.3
59.64,16.86,23.49,95.8
61.4,41.58,40.21,17.2
14.66,40.65,82.25,93.6
54.68,27.54,89.88,78.3
62.07,37.38,59.76,66.7
27.17,38.4,56.54,6.2
39.95,8.52,34.09,52.4
72.74,47.26,29.81,8.8
85.35,76.9,68.83,64.0
55.84,18.36,42.11,5.5
38.26,73.56,6.36,7.6
10.15,23.87,93.81,4.2
80.0,58.68,49.78,17.6
71.18,15.22,94.76,45.5
90.31,66.4,45.35,71.0
16.94,2.92,75.32,95.3
10.85,53.2,23.11,60.0
41.89,16.59,94.81,9.8
67.45,1.64,87.76,55.0
72.11,60.68,96.11,84.5
2.41,46.1,71.86,3.0
34.21,96.19,8.56,30.4
16.53,20.27,12.61,26.8
93.73,37.3,98.53,98.7
39.21,24.23,29.97,56.9
25.29,93.72,10.72,55.3
61.94,84.06,53.42,73.9
13.36,35.25,47.65,87.7
80.02,22.46,90.94,20.5
85.99,42.6,58.07,20.1
24.57,6.26,40.38,98.1
11.27,70.64,3.92,72.7
62.86,69.85,87.39,67.1
60.44,8.65,37.49,6.0
41.53,2.2,28.56,36.8
54.82,78.51,40.83,6.7
93.15,32.64,55.13,13.6
80.98,63.2,54.17,18.8
84.55,36.77,83.29,3.6
43.45,83.54,61.55,78.2
93.39,77.36,56.42,97.1
10.2,53.39,6.12,21.2
9.61,50.53,83.38,53.4
98.4,24.12,70.77,88.5
30.01,19.59,68.56,87.4
87.44,66.07,90.34,22.9
45.18,29.68,36.76,66.9
63.55,5.81,52.54,62.8
93.3,32.44,78.73,87.3
7.2,3.1,90.3,73.7
2.2,70.24,43.13,73.3
87.99,82.18,69.18,87.9
49.98,60.32,2.6,59.8
22.71,99.57,44.12,41.4
76.43,89.81,85.24,18.6
56.35,51.84,54.53,73.5
16.59,66.19,16.23,49.7
76.93,70.85,42.46,9.9
63.01,55.49,68.55,79.8
62.89,30.61,28.78,66.3
44.52,80.06,99.12,50.2
43.79,94.97,90.34,74.1
84.95,52.6,14.79,14.3
75.76,12.8,59.97,20.3
88.76,80.88,22.36,10.6
7.9,31.79,6.78,16.1
7.95,72.68,41.29,37.2
61.43,34.65,45.76,26.8
34.2,19.38,51.07,91.7
22.11,87.09,71.45,44.6
24.42,44.03,96.22,69.2
97.29,98.35,14.63,28.9
65.72,56.93,68.87,80.5
65.13,68.87,95.01,91.4
58.62,92.69,32.17,45.6
99.21,61.27,93.76,87.6
9.74,17.64,21.65,88.6
2.21,96.22,83.87,26.3
48.28,37.85,71.06,58.5
42.39,71.18,37.86,20.1
48.27,85.09,26.87,63.7
64.35,91.6,35.11,96.9
15.16,91.51,84.44,78.2
89.64,58.7,22.61,5.9
15.03,70.41,41.48,51.2
30.66,99.49,45.49,25.0
73.24,83.99,1.57,53.2
4.16,50.5,29.18,81.2
18.47,65.54,18.38,68.5
69.57,69.88,32.1,36.8
52.24,94.68,24.37,13.3
16.65,46.62,28.0,79.6
25.66,16.83,70.56,59.0
59.89,49.89,97.1,51.5
40.09,26.63,97.36,79.7
17.05,26.65,65.16,57.6
13.21,90.22,51.46,31.4
89.76,80.0,42.53,28.4
13.66,3.03,50.08,28.3
83.62,77.38,92.09,92.3
82.29,41.08,83.28,61.5
82.39,21.75,98.79,75.0
35.96,41.3,18.23,14.4
15.55,95.78,91.88,51.7
28.03,59.14,45.54,38.1
22.97,70.9,77.14,98.5
46.27,71.43,44.26,55.0
91.24,12.89,56.11,51.9
82.73,5.94,56.84,81.4
10.76,79.5,10.96,12.6
31.75,55.93,1.28,55.8
12.11,61.09,71.95,36.4
25.7,48.39,27.72,44.5
4.9,35.88,28.64,10.3
1.15,48.23,51.11,15.1
12.03,6.55,21.2,3.6
38.36,42.06,5.05,6.2
72.04,85.76,74.0,36.6
27.88,68.27,36.08,68.6
27.21,68.69,80.19,66.1
93.03,68.88,85.22,23.7
15.55,68.69,15.68,15.2
25.99,27.07,16.62,45.8
41.96,41.43,11.78,25.5
89.54,3.78,15.44,10.2
98.39,18.61,24.46,87.9
14.04,78.75,73.33,80.9
1.27,26.44,51.02,85.2
41.13,72.67,30.28,45.5
33.93,24.3,8.09,8.6
2.03,37.92,80.13,44.2
81.99,71.29,34.4,65.9
7.14,32.33,93.61,34.1
75.64,37.88,39.5,34.2
18.98,2.44,26.92,66.3
69.95,22.61,72.1,50.6
49.18,82.41,6.92,64.9
79.19,35.37,22.43,2.9
15.69,29.78,29.03,37.4
67.55,65.21,44.77,73.2
47.75,33.69,90.52,21.6
14.49,77.88,46.21,10.5
55.89,26.33,75.91,62.1
50.38,75.52,83.24,82.5
21.9,19.38,70.99,6.0
27.76,70.91,38.54,73.3
46.93,7.0,3.47,66.3
87.21,6.79,67.43,43.0
84.85,28.97,62.65,1.7
53.14,9.91,44.94,77.8
52.07,28.93,29.96,93.3
72.74,63.09,85.05,19.4
88.8,28.48,33.3,25.6
20.28,73.49,91.98,33.2
94.86,4.31,1.97,6.3
76.16,14.37,53.46,15.6
86.43,82.32,81.5,53.1
12.43,84.68,77.54,55.6
12.66,9.41,21.37,44.4
8.9,7.44,89.72,29.5
34.44,23.26,9.98,87.3
95.96,93.81,6.87,75.5
92.42,41.45,64.11,59.1
34.01,42.24,6.97,14.2
3.18,35.51,55.9,18.2
65.06,73.58,16.78,90.5
33.95,98.8,88.72,1.2
97.09,20.92,5.25,52.4
58.03,1.31,29.55,91.5
5.34,93.65,85.45,49.8
81.59,51.38,29.49,44.4
52.27,69.3,11.75,18.2
32.1,52.68,70.34,52.9
90.49,57.11,89.52,8.0
94.09,92.78,51.68,48.9
87.13,30.45,31.37,71.1
51.81,36.72,61.48,98.6
68.22,8.86,21.01,79.3
40.61,98.62,59.52,58.1
38.52,5.34,61.25,15.4
33.58,40.26,3.42,75.0
74.94,51.4,52.63,66.5
64.16,52.8,70.77,68.0
22.03,84.62,53.84,38.9
9.78,91.68,69.35,62.6
74.68,52.39,31.04,32.7
68.39,86.7,67.85,91.9
83.93,9.14,91.76,12.0
1.48,86.71,60.87,29.2
31.44,32.57,63.11,28.7
86.17,21.86,55.76,18.9
46.22,45.02,99.31,68.1
27.45,38.21,53.16,62.6
57.88,47.31,77.11,25.4
82.45,10.06,43.71,58.7
84.32,24.04,83.39,76.0
99.94,99.84,38.99,61.0
96.47,27.05,34.57,40.3
78.38,61.42,44.21,15.1
49.96,10.62,77.81,22.8
70.91,88.88,54.14,75.1
91.82,31.84,77.27,50.0
48.31,6.8,30.23,36.4
34.35,22.58,88.35,29.4
90.68,41.02,89.63,70.1
19.88,63.51,19.29,4.6
93.06,90.58,63.78,62.9
53.5,86.46,76.91,18.0
23.42,59.4,97.69,16.1
13.81,39.91,53.88,6.8
2.82,21.82,19.44,39.6
74.25,99.79,74.14,93.5
66.67,45.81,28.11,73.4
24.11,63.73,50.83,36.7
13.56,74.53,51.04,13.2
69.96,94.65,14.84,81.1
67.26,14.39,77.93,24.2
44.57,59.41,27.09,20.7
83.72,98.33,44.19,16.7
12.74,14.84,21.5,62.5
93.39,90.45,34.37,64.9
86.69,35.4,68.67,58.3
74.26,97.29,6.43,19.8
65.57,70.66,36.58,3.2
88.49,38.27,23.78,91.5
25.96,87.77,59.29,50.7
9.01,43.21,3.73,39.6
18.94,22.52,34.58,80.5
65.91,35.3,15.36,57.7
19.6,49.08,83.2,89.4
9.95,61.84,67.28,53.0
98.98,79.65,43.15,66.4
20.25,33.99,87.95,31.4
78.98,68.34,22.74,7.6
13.0,48.51,80.07,17.6
94.16,83.5,34.19,70.6
57.46,56.59,5.32,19.0
11.07,82.88,54.03,52.9
25.4,8.99,79.83,85.3
51.11,6.48,28.41,75.9
31.38,18.96,69.49,24.3
46.08,16.19,59.62,72.4
55.8,13.73,2.58,16.5
10.21,82.9,46.36,17.9
13.28,1.66,2.73,3.8
49.27,78.95,74.91,11.1
56.27,63.21,4.74,96.3
28.55,4.9,9.81,54.4
65.2,6.24,65.96,23.1
33.53,3.05,96.01,96.6
6.24,12.19,22.79,7.4
56.47,9.69,70.48,63.6
17.44,63.31,64.75,71.7
97.62,15.76,77.52,22.5
46.04,66.47,61.61,39.8
72.23,92.17,52.11,2.1
13.84,81.65,92.24,9.6
81.88,41.84,15.83,56.3
17.16,60.02,90.21,89.7
9.58,77.96,85.18,26.4
2.18,23.83,39.67,23.7
22.8,72.47,63.34,59.6
20.6,45.53,26.76,99.7
86.97,16.12,59.58,69.8
56.89,49.9,71.55,49.2
38.72,31.28,80.81,37.5
24.42,91.58,79.03,26.6
35.15,44.09,96.02,86.8
61.33,23.16,68.63,30.8
17.73,1.52,49.78,10.8
39.93,15.09,66.55,29.9
81.66,53.85,2.67,48.3
76.12,50.05,84.93,22.4
58.56,22.14,27.21,99.1
47.66,96.76,40.71,44.3
10.95,33.25,18.3,26.7
21.39,80.18,6.67,25.9
46.72,23.68,40.14,52.6
79.15,32.99,89.69,67.5
43.65,24.55,17.19,69.8
78.02,24.0,21.31,25.5
3.07,64.73,88.34,46.3
94.83,98.55,28.31,21.4
88.92,70.85,94.97,80.5
11.46,67.62,34.59,68.9
36.92,17.02,80.96,38.7
2.31,46.76,25.66,97.6
94.91,50.21,19.01,8.7
77.09,72.56,1.89,30.6
15.23,71.16,14.93,43.9
82.59,89.95,17.32,38.1
89.49,13.79,37.52,47.7
32.79,42.92,78.66,13.5
22.16,39.26,32.36,24.5
39.65,20.19,34.24,18.7
15.88,35.19,92.65,27.6
77.9,99.74,29.69,18.5
77.96,33.11,35.97,25.5
36.32,60.02,60.16,13.0
37.87,92.62,11.26,43.9
57.7,68.19,57.9,42.2
78.44,49.38,94.66,22.9
66.82,86.01,94.57,85.3
75.46,32.92,80.18,65.4
98.29,37.87,40.16,88.9
98.47,30.49,3.63,69.5
58.1,34.21,16.27,60.1
75.28,83.96,96.66,89.9
5.23,50.62,21.28,88.8
44.87,90.48,57.78,13.4
49.86,73.17,15.39,49.4
58.91,20.64,66.41,43.7
76.26,91.39,83.77,41.6
81.46,67.39,58.31,6.6
74.56,58.92,74.96,97.9
29.33,87.42,58.07,63.6
10.66,20.99,40.43,57.9
44.2,18.41,68.87,35.8
64.38,80.8,56.95,44.1
53.8,73.82,89.97,64.1
80.04,80.33,34.53,66.0
29.44,4.89,32.18,98.7
89.71,62.99,69.61,21.9
70.31,79.71,67.34,98.3
53.1,18.52,7.22,80.5
68.27,96.33,59.62,24.2
23.63,11.11,25.87,53.0
32.0,68.07,41.75,53.1
4.2,54.97,39.49,26.5
87.21,20.01,6.14,1.3
91.7,84.19,85.38,84.1
59.28,22.22,13.09,60.4
60.41,96.78,79.53,37.7
81.29,72.29,71.02,88.5
61.65,23.11,75.75,23.3
35.03,1.43,44.66,45.0
79.25,58.54,36.34,15.7
24.53,42.12,77.79,13.0
22.78,55.12,54.02,18.7
31.25,65.8,59.02,36.1
13.11,58.83,22.51,42.9
46.37,94.92,25.0,44.3
60.56,21.79,43.33,88.0
73.42,49.34,92.44,28.4
7.01,26.79,93.03,79.7
45.18,93.39,50.62,68.9
87.86,70.43,32.55,76.4
1.28,44.24,22.31,89.0
83.63,76.12,16.3,18.9
77.59,49.52,17.4,84.7
18.44,7.59,11.23,16.0
13.07,27.38,13.28,15.2
20.74,75.0,85.91,50.8
96.78,47.91,25.53,47.8
15.75,51.87,17.9,46.3
3.01,36.32,6.93,70.5
93.64,42.82,77.86,54.0
86.58,12.55,53.83,80.7
52.7,70.4,58.11,76.9
13.84,16.54,82.43,16.6
34.64,13.7,48.22,72.4
7.65,65.86,30.13,13.4
38.41,20.71,69.39,6.0
18.97,94.0,32.7,75.3
69.79,44.32,51.71,11.7
83.56,49.42,60.54,63.0
73.48,39.74,79.4,29.0
88.47,20.25,39.49,88.5
56.35,20.32,67.3,45.4
98.37,1.75,77.64,28.3
17.12,15.86,99.7,42.8
52.84,54.75,60.08,97.5
65.92,3.51,94.21,24.0
59.67,34.54,5.3,6.9
2.22,29.11,83.67,20.9
90.38,38.57,20.96,65.5
34.04,92.47,56.66,33.4
92.24,68.02,68.02,20.4
22.09,4.2,66.51,12.5
34.01,65.79,3.63,30.9
71.44,6.3,1.25,16.3
41.83,20.36,33.14,81.1
37.87,89.79,89.92,83.4
79.24,45.15,85.1,95.5
77.89,53.2,2.01,89.4
60.88,95.27,10.12,27.2
82.28,15.7,61.45,44.0
31.45,1.2,3.22,44.8
8.47,12.93,32.33,71.7
60.23,76.01,86.7,35.3
42.45,15.36,84.88,48.2
6.47,48.12,7.44,93.0
78.13,48.02,58.4,74.6
2.16,33.91,3.03,87.3
22.8,13.3,91.67,63.9
11.76,39.73,93.65,97.4
34.84,82.64,73.01,63.2
51.17,60.59,69.34,62.8
92.46,82.45,45.27,73.9
63.18,80.53,43.56,95.0
68.18,1.98,22.07,84.1
98.61,46.82,17.12,48.9
81.09,36.91,63.92,1.6
83.57,90.61,21.31,60.7
40.18,15.7,18.78,48.7
40.3,29.45,41.49,9.6
37.54,64.87,59.44,46.6
90.68,70.27,23.08,9.4
19.59,61.7,15.59,70.5
6.14,24.29,91.98,65.1
29.07,88.38,9.26,34.7
85.93,30.27,4.49,84.9
82.31,92.13,68.17,97.4
83.47,72.18,26.34,72.4
65.12,24.65,38.44,41.6
73.37,35.32,69.51,69.8
32.18,20.05,80.11,32.3
62.23,21.33,36.78,98.5
31.44,72.12,32.71,58.1
32.62,65.33,58.17,90.5
25.85,86.99,57.06,14.9
65.17,93.28,2.95,45.7
16.17,77.38,40.91,56.9
20.27,74.15,19.05,99.7
70.35,77.31,66.75,11.5
53.28,61.65,73.45,9.5
85.02,28.7,93.05,39.9
95.94,56.49,68.56,33.2
41.15,68.15,7.39,94.7
94.89,12.19,57.62,33.1
39.68,7.33,23.29,21.4
25.91,75.63,66.74,59.3
94.94,80.29,90.79,17.4
14.41,25.96,54.44,14.0
13.27,49.87,66.65,71.3
77.92,40.94,36.57,31.8
40.43,64.51,36.63,48.4
46.54,85.47,65.46,53.3
75.18,77.08,95.39,41.4
14.46,46.96,99.31,73.5
78.09,31.11,92.4,6.4
96.44,23.01,2.48,97.3
71.42,2.12,50.74,92.7
11.6,93.4,51.53,92.8
55.64,63.36,61.71,72.7
30.79,54.37,61.19,88.8
39.16,38.85,87.73,79.4
70.27,26.32,14.35,70.4
37.75,15.85,14.64,39.9
40.04,7.57,33.77,12.1
